AMINO ACIDS,CARBOHYDRATES,COFACTORS AND VITAMINS,ENERGY,LIPIDS,NUCLEOTIDES,ONE CARBON CYCLE,OTHER,OTHER AMINO ACIDS,REACTIVE OXYGEN SPECIES
WBGene00000107,WBGene00000107,WBGene00000240,WBGene00000040,WBGene00000035,WBGene00000068,WBGene00000109,WBGene00000001,WBGene00004091,WBGene00000830
WBGene00000108,WBGene00000108,WBGene00000296,WBGene00000041,WBGene00000036,WBGene00000069,WBGene00000929,WBGene00000090,WBGene00005663,WBGene00000831
WBGene00000110,WBGene00000110,WBGene00000298,WBGene00000206,WBGene00000038,WBGene00000071,WBGene00003214,WBGene00000123,WBGene00006762,WBGene00001527
WBGene00000111,WBGene00000111,WBGene00000536,WBGene00000207,WBGene00000081,WBGene00000391,WBGene00006416,WBGene00000138,WBGene00007533,WBGene00002249
WBGene00000112,WBGene00000115,WBGene00000762,WBGene00000209,WBGene00000107,WBGene00000392,WBGene00006510,WBGene00000196,WBGene00007653,WBGene00002250
WBGene00000113,WBGene00000117,WBGene00000763,WBGene00000210,WBGene00000108,WBGene00000963,WBGene00007388,WBGene00000197,WBGene00008379,WBGene00004930
WBGene00000114,WBGene00000118,WBGene00000765,WBGene00000229,WBGene00000110,WBGene00000964,WBGene00007533,WBGene00000198,WBGene00008490,WBGene00004931
WBGene00000115,WBGene00000266,WBGene00000766,WBGene00000230,WBGene00000111,WBGene00001823,WBGene00007974,WBGene00000214,WBGene00008732,WBGene00004932
WBGene00000117,WBGene00000269,WBGene00000967,WBGene00000371,WBGene00000114,WBGene00002879,WBGene00008205,WBGene00000215,WBGene00009048,WBGene00004933
WBGene00000118,WBGene00000496,WBGene00000976,WBGene00000829,WBGene00000115,WBGene00003254,WBGene00008354,WBGene00000216,WBGene00010759,WBGene00006434
WBGene00000138,WBGene00000497,WBGene00000982,WBGene00000833,WBGene00000117,WBGene00003579,WBGene00009048,WBGene00000218,WBGene00011393,WBGene00007036
WBGene00000181,WBGene00000503,WBGene00001033,WBGene00000869,WBGene00000118,WBGene00003583,WBGene00009918,WBGene00000245,WBGene00012416,WBGene00007516
WBGene00000239,WBGene00000984,WBGene00001486,WBGene00001503,WBGene00000198,WBGene00004091,WBGene00010988,WBGene00000253,WBGene00012867,WBGene00007517
WBGene00000240,WBGene00001404,WBGene00001500,WBGene00001520,WBGene00000211,WBGene00004248,WBGene00013708,WBGene00000254,WBGene00013041,WBGene00008117
WBGene00000296,WBGene00001508,WBGene00001501,WBGene00002162,WBGene00000212,WBGene00004259,WBGene00013866,WBGene00000279,WBGene00013151,WBGene00009165
WBGene00000775,WBGene00001564,WBGene00002010,WBGene00002855,WBGene00000213,WBGene00004391,WBGene00015512,WBGene00000280,WBGene00014228,WBGene00009554
WBGene00000800,WBGene00001637,WBGene00003411,WBGene00003061,WBGene00000481,WBGene00004392,WBGene00015538,WBGene00000281,WBGene00015553,WBGene00010941
WBGene00000830,WBGene00001638,WBGene00003778,WBGene00003162,WBGene00000509,WBGene00006568,WBGene00015540,WBGene00000282,WBGene00016906,WBGene00011045
WBGene00000831,WBGene00001639,WBGene00004020,WBGene00003225,WBGene00000510,WBGene00007089,WBGene00016957,WBGene00000283,WBGene00017442,WBGene00011110
WBGene00001077,WBGene00001645,WBGene00004023,WBGene00003831,WBGene00000511,WBGene00007753,WBGene00017765,WBGene00000284,WBGene00019094,WBGene00011393
WBGene00001149,WBGene00001646,WBGene00004049,WBGene00004091,WBGene00000512,WBGene00007755,WBGene00017777,WBGene00000295,WBGene00019096,WBGene00011587
WBGene00001150,WBGene00001647,WBGene00004050,WBGene00006433,WBGene00000513,WBGene00007812,WBGene00018174,WBGene00000366,WBGene00019204,WBGene00012416
WBGene00001152,WBGene00001649,WBGene00004051,WBGene00006463,WBGene00000514,WBGene00008131,WBGene00018783,WBGene00000496,WBGene00019962,WBGene00013220
WBGene00001154,WBGene00001683,WBGene00004052,WBGene00006519,WBGene00000515,WBGene00008443,WBGene00019322,WBGene00000497,WBGene00020590,WBGene00014028
WBGene00001155,WBGene00001684,WBGene00004053,WBGene00007150,WBGene00000905,WBGene00008458,WBGene00019492,WBGene00000503,WBGene00020797,WBGene00015553
WBGene00001156,WBGene00001685,WBGene00004068,WBGene00007350,WBGene00000958,WBGene00008654,WBGene00020491,WBGene00000761,WBGene00022397,WBGene00016629
WBGene00001157,WBGene00001686,WBGene00004800,WBGene00007385,WBGene00000959,WBGene00008948,WBGene00022455,WBGene00000800,WBGene00022856,WBGene00016906
WBGene00001158,WBGene00001793,WBGene00004801,WBGene00007653,WBGene00000960,WBGene00009119,WBGene00022856,WBGene00000907,,WBGene00017084
WBGene00001527,WBGene00002262,WBGene00004802,WBGene00007684,WBGene00000988,WBGene00009126,,WBGene00000913,,WBGene00018850
WBGene00001602,WBGene00004258,WBGene00004803,WBGene00007753,WBGene00000991,WBGene00009531,,WBGene00000991,,WBGene00019204
WBGene00001603,WBGene00005019,WBGene00006600,WBGene00007755,WBGene00000996,WBGene00009575,,WBGene00001002,,WBGene00019846
WBGene00001604,WBGene00005022,WBGene00006862,WBGene00007880,WBGene00001150,WBGene00010083,,WBGene00001033,,WBGene00020590
WBGene00001606,WBGene00006461,WBGene00007328,WBGene00007886,WBGene00001152,WBGene00010609,,WBGene00001077,,WBGene00021401
WBGene00001607,WBGene00006601,WBGene00007331,WBGene00007942,WBGene00001153,WBGene00010697,,WBGene00001093,,WBGene00021430
WBGene00001790,WBGene00006602,WBGene00007698,WBGene00007993,WBGene00001155,WBGene00010912,,WBGene00001094,,WBGene00022377
WBGene00001791,WBGene00006603,WBGene00007753,WBGene00008409,WBGene00001156,WBGene00011064,,WBGene00001095,,WBGene00022397
WBGene00001794,WBGene00006607,WBGene00007755,WBGene00008414,WBGene00001157,WBGene00011128,,WBGene00001130,,
WBGene00001839,WBGene00006608,WBGene00007780,WBGene00008490,WBGene00001158,WBGene00011146,,WBGene00001134,,
WBGene00001843,WBGene00006609,WBGene00008531,WBGene00008538,WBGene00001239,WBGene00011272,,WBGene00001137,,
WBGene00001993,WBGene00006610,WBGene00008669,WBGene00008732,WBGene00001240,WBGene00011407,,WBGene00001150,,
WBGene00002249,WBGene00006611,WBGene00008801,WBGene00009051,WBGene00001241,WBGene00011433,,WBGene00001152,,
WBGene00002250,WBGene00006863,WBGene00008802,WBGene00009161,WBGene00001242,WBGene00011559,,WBGene00001155,,
WBGene00003162,WBGene00007043,WBGene00009138,WBGene00009187,WBGene00001243,WBGene00012316,,WBGene00001156,,
WBGene00003214,WBGene00007102,WBGene00009146,WBGene00009294,WBGene00001244,WBGene00012390,,WBGene00001157,,
WBGene00003234,WBGene00007108,WBGene00009176,WBGene00009353,WBGene00001245,WBGene00012423,,WBGene00001158,,
WBGene00003816,WBGene00007425,WBGene00009493,WBGene00009440,WBGene00001247,WBGene00013690,,WBGene00001177,,
WBGene00003844,WBGene00007435,WBGene00009628,WBGene00009664,WBGene00001262,WBGene00014001,,WBGene00001239,,
WBGene00003960,WBGene00007464,WBGene00010063,WBGene00009712,WBGene00001393,WBGene00014034,,WBGene00001336,,
WBGene00004025,WBGene00007465,WBGene00010408,WBGene00009739,WBGene00001394,WBGene00014058,,WBGene00001337,,
WBGene00004026,WBGene00007466,WBGene00010790,WBGene00009740,WBGene00001395,WBGene00015116,,WBGene00001338,,
WBGene00004259,WBGene00007467,WBGene00010791,WBGene00009812,WBGene00001396,WBGene00015551,,WBGene00001405,,
WBGene00004875,WBGene00007469,WBGene00011224,WBGene00009992,WBGene00001397,WBGene00016103,,WBGene00001406,,
WBGene00006416,WBGene00007470,WBGene00011262,WBGene00010317,WBGene00001398,WBGene00016328,,WBGene00001476,,
WBGene00006518,WBGene00007471,WBGene00011271,WBGene00010326,WBGene00001399,WBGene00016415,,WBGene00001477,,
WBGene00006541,WBGene00007472,WBGene00011398,WBGene00010380,WBGene00001794,WBGene00016509,,WBGene00001478,,
WBGene00006562,WBGene00007473,WBGene00011500,WBGene00010383,WBGene00002043,WBGene00016632,,WBGene00001479,,
WBGene00006600,WBGene00007556,WBGene00011526,WBGene00010397,WBGene00002044,WBGene00016957,,WBGene00001480,,
WBGene00006762,WBGene00007745,WBGene00011527,WBGene00010419,WBGene00002183,WBGene00017244,,WBGene00001486,,
WBGene00007122,WBGene00007824,WBGene00011559,WBGene00010759,WBGene00002262,WBGene00017440,,WBGene00001497,,
WBGene00007129,WBGene00007965,WBGene00011573,WBGene00010780,WBGene00002891,WBGene00017775,,WBGene00001498,,
WBGene00007197,WBGene00007969,WBGene00011879,WBGene00010794,WBGene00003047,WBGene00017984,,WBGene00001522,,
WBGene00007236,WBGene00008132,WBGene00012295,WBGene00010957,WBGene00003773,WBGene00018174,,WBGene00001523,,
WBGene00007480,WBGene00008230,WBGene00012423,WBGene00010958,WBGene00003906,WBGene00019055,,WBGene00001528,,
WBGene00007507,WBGene00008258,WBGene00012666,WBGene00010959,WBGene00003907,WBGene00019298,,WBGene00001530,,
WBGene00007508,WBGene00008411,WBGene00012885,WBGene00010960,WBGene00004020,WBGene00019899,,WBGene00001531,,
WBGene00007509,WBGene00008506,WBGene00012895,WBGene00010961,WBGene00004023,WBGene00020036,,WBGene00001532,,
WBGene00007533,WBGene00008546,WBGene00012914,WBGene00010962,WBGene00004040,WBGene00020114,,WBGene00001535,,
WBGene00007653,WBGene00008548,WBGene00013336,WBGene00010963,WBGene00004076,WBGene00020190,,WBGene00001536,,
WBGene00007756,WBGene00008775,WBGene00013577,WBGene00010964,WBGene00004092,WBGene00020557,,WBGene00001538,,
WBGene00007836,WBGene00008780,WBGene00013646,WBGene00010965,WBGene00004892,WBGene00020682,,WBGene00001540,,
WBGene00008127,WBGene00009006,WBGene00013854,WBGene00010966,WBGene00004893,WBGene00020765,,WBGene00001541,,
WBGene00008205,WBGene00009035,WBGene00014076,WBGene00010967,WBGene00004894,WBGene00020932,,WBGene00001542,,
WBGene00008354,WBGene00009082,WBGene00015010,WBGene00011015,WBGene00004981,WBGene00021692,,WBGene00001543,,
WBGene00008408,WBGene00009126,WBGene00015021,WBGene00011273,WBGene00006418,WBGene00022201,,WBGene00001544,,
WBGene00008409,WBGene00009219,WBGene00015124,WBGene00011307,WBGene00006477,WBGene00022250,,WBGene00001545,,
WBGene00008435,WBGene00009334,WBGene00015161,WBGene00011526,WBGene00006483,WBGene00022389,,WBGene00001546,,
WBGene00008490,WBGene00009583,WBGene00015778,WBGene00011679,WBGene00006505,WBGene00022455,,WBGene00001547,,
WBGene00008514,WBGene00009925,WBGene00016144,WBGene00012040,WBGene00006518,WBGene00022817,,WBGene00001548,,
WBGene00008546,WBGene00010166,WBGene00016152,WBGene00012094,WBGene00006756,WBGene00044063,,WBGene00001549,,
WBGene00008732,WBGene00010284,WBGene00016652,WBGene00012158,WBGene00007102,WBGene00044355,,WBGene00001551,,
WBGene00009001,WBGene00010308,WBGene00017060,WBGene00012166,WBGene00007129,,,WBGene00001552,,
WBGene00009035,WBGene00010416,WBGene00017121,WBGene00012354,WBGene00007130,,,WBGene00001553,,
WBGene00009048,WBGene00010665,WBGene00017775,WBGene00012376,WBGene00007175,,,WBGene00001554,,
WBGene00009177,WBGene00010720,WBGene00018696,WBGene00012390,WBGene00007210,,,WBGene00001555,,
WBGene00009232,WBGene00010780,WBGene00018755,WBGene00012553,WBGene00007328,,,WBGene00001556,,
WBGene00009271,WBGene00010790,WBGene00018996,WBGene00012895,WBGene00007331,,,WBGene00001557,,
WBGene00009319,WBGene00010791,WBGene00019008,WBGene00013094,WBGene00007419,,,WBGene00001596,,
WBGene00009628,WBGene00010794,WBGene00019240,WBGene00013237,WBGene00007446,,,WBGene00001744,,
WBGene00009636,WBGene00010799,WBGene00019298,WBGene00013308,WBGene00007753,,,WBGene00001759,,
WBGene00009706,WBGene00010945,WBGene00019830,WBGene00013406,WBGene00007755,,,WBGene00002001,,
WBGene00009813,WBGene00011003,WBGene00020146,WBGene00013854,WBGene00007756,,,WBGene00002010,,
WBGene00009918,WBGene00011004,WBGene00020397,WBGene00014086,WBGene00007857,,,WBGene00002146,,
WBGene00009952,WBGene00011050,WBGene00020471,WBGene00014098,WBGene00007917,,,WBGene00002152,,
WBGene00010035,WBGene00011095,WBGene00021395,WBGene00015391,WBGene00007918,,,WBGene00002153,,
WBGene00010052,WBGene00011147,WBGene00021626,WBGene00015810,WBGene00007969,,,WBGene00002183,,
WBGene00010286,WBGene00011157,WBGene00021882,WBGene00016118,WBGene00008167,,,WBGene00002238,,
WBGene00010380,WBGene00011158,WBGene00022031,WBGene00016266,WBGene00008320,,,WBGene00002497,,
WBGene00010383,WBGene00011159,WBGene00022171,WBGene00016392,WBGene00008415,,,WBGene00002891,,
WBGene00010456,WBGene00011161,WBGene00022181,WBGene00016393,WBGene00008531,,,WBGene00002979,,
WBGene00010595,WBGene00011162,WBGene00022201,WBGene00016844,WBGene00008564,,,WBGene00003031,,
WBGene00010661,WBGene00011164,WBGene00022246,WBGene00016995,WBGene00008565,,,WBGene00003040,,
WBGene00010759,WBGene00011166,WBGene00022379,WBGene00017121,WBGene00008566,,,WBGene00003073,,
WBGene00010794,WBGene00011167,WBGene00022770,WBGene00017387,WBGene00008567,,,WBGene00003074,,
WBGene00010924,WBGene00011170,WBGene00022849,WBGene00017734,WBGene00008581,,,WBGene00003220,,
WBGene00010941,WBGene00011193,WBGene00044637,WBGene00017759,WBGene00008629,,,WBGene00003384,,
WBGene00011064,WBGene00011196,WBGene00206373,WBGene00017926,WBGene00008706,,,WBGene00003385,,
WBGene00011088,WBGene00011232,,WBGene00017982,WBGene00008749,,,WBGene00003415,,
WBGene00011089,WBGene00011399,,WBGene00018151,WBGene00008776,,,WBGene00003475,,
WBGene00011291,WBGene00011409,,WBGene00018361,WBGene00008801,,,WBGene00003476,,
WBGene00011307,WBGene00011474,,WBGene00018491,WBGene00008802,,,WBGene00003478,,
WBGene00011587,WBGene00011510,,WBGene00018610,WBGene00009057,,,WBGene00003815,,
WBGene00011767,WBGene00011757,,WBGene00019007,WBGene00009146,,,WBGene00003962,,
WBGene00011932,WBGene00011832,,WBGene00019061,WBGene00009192,,,WBGene00003963,,
WBGene00011938,WBGene00011846,,WBGene00019094,WBGene00009218,,,WBGene00003964,,
WBGene00012007,WBGene00011848,,WBGene00019096,WBGene00009221,,,WBGene00004025,,
WBGene00012326,WBGene00011884,,WBGene00019401,WBGene00009342,,,WBGene00004026,,
WBGene00012713,WBGene00011893,,WBGene00019880,WBGene00009439,,,WBGene00004036,,
WBGene00012799,WBGene00012015,,WBGene00019937,WBGene00009622,,,WBGene00004037,,
WBGene00012815,WBGene00012017,,WBGene00019962,WBGene00009635,,,WBGene00004038,,
WBGene00012855,WBGene00012020,,WBGene00020181,WBGene00009801,,,WBGene00004039,,
